,metric,partition,value,iteration
9,perc_lenght_80pct,test,7.805307026545492,150
10,perc_lenght_80pct,train,86.69430340349052,150
11,perc_lenght_80pct,valid,415.9294541187551,150
12,abs_lenght_80pct,test,9208.721815744788,150
13,abs_lenght_80pct,train,9156.484085683574,150
14,abs_lenght_80pct,valid,9393.387696505779,150
15,confidence_error,test,0.15042570400687144,150
16,confidence_error,train,0.16868002242757418,150
17,confidence_error,valid,0.08296750118815426,150
18,elbo,train,121272.98046016693,150
0,MAPE,test,2.150991725782408,160
1,MAPE,train,30.517353457576327,160
2,MAPE,valid,85.921507889432,160
3,MAE,test,2694.0120121169007,160
4,MAE,train,2515.5785020418407,160
5,MAE,valid,3262.935099689805,160
6,emp_coverage_80pct,test,0.7927519818799547,160
7,emp_coverage_80pct,train,0.8159362549800797,160
8,emp_coverage_80pct,valid,0.7373737373737373,160
9,perc_lenght_80pct,test,7.7589460534761345,160
10,perc_lenght_80pct,train,79.36924337171199,160
11,perc_lenght_80pct,valid,389.0492506138479,160
12,abs_lenght_80pct,test,8663.297881445811,160
13,abs_lenght_80pct,train,8651.673714512464,160
14,abs_lenght_80pct,valid,8820.426421023229,160
15,confidence_error,test,0.05447075143567491,160
16,confidence_error,train,0.07255227213760534,160
17,confidence_error,valid,0.07612951398585217,160
18,elbo,train,108852.4212551117,160
0,MAPE,test,1.338618989927759,170
1,MAPE,train,22.808272879430955,170
2,MAPE,valid,71.1080758636024,170
3,MAE,test,2433.1282161310896,170
4,MAE,train,2288.08284701507,170
5,MAE,valid,2771.5914087843585,170
6,emp_coverage_80pct,test,0.8312570781426953,170
7,emp_coverage_80pct,train,0.8473306772908367,170
8,emp_coverage_80pct,valid,0.797979797979798,170
9,perc_lenght_80pct,test,10.006844344260067,170
10,perc_lenght_80pct,train,77.01178156704684,170
11,perc_lenght_80pct,valid,332.4162814492487,170
12,abs_lenght_80pct,test,8491.962186146018,170
13,abs_lenght_80pct,train,8465.892818184446,170
14,abs_lenght_80pct,valid,8707.583967740617,170
15,confidence_error,test,0.12301741131644377,170
16,confidence_error,train,0.1323629115425014,170
17,confidence_error,valid,0.034073348993733835,170
18,elbo,train,117396.68228912354,170
