,metric,partition,value,iteration
2,coverage_80pct,valid,0.8656716417910447,17
3,diameter_80pct,test,1.5790807594818048,17
4,diameter_80pct,train,1.5454285032799806,17
5,diameter_80pct,valid,1.5544363704898077,17
6,mape,test,0.3561008326072667,17
7,mape,train,0.2759551342565481,17
8,mape,valid,0.3471196202671608,17
9,confidence_error,test,0.2100984212548254,17
10,confidence_error,train,0.28951675946548744,17
11,confidence_error,valid,0.17985696218615374,17
12,elbo,train,10280.150456428528,17
0,coverage_80pct,test,0.8805970149253731,18
1,coverage_80pct,train,0.9205607476635514,18
2,coverage_80pct,valid,0.8582089552238806,18
3,diameter_80pct,test,1.4914618533064135,18
4,diameter_80pct,train,1.4622306501512619,18
5,diameter_80pct,valid,1.4815450852818608,18
6,mape,test,0.3229770735290224,18
7,mape,train,0.2493423007882621,18
8,mape,valid,0.31200059910560746,18
9,confidence_error,test,0.3552762994772078,18
10,confidence_error,train,0.41970033487604474,18
11,confidence_error,valid,0.3095017698098429,18
12,elbo,train,10390.959464073181,18
0,coverage_80pct,test,0.8805970149253731,19
1,coverage_80pct,train,0.9177570093457944,19
2,coverage_80pct,valid,0.8507462686567164,19
3,diameter_80pct,test,1.5348725893875503,19
4,diameter_80pct,train,1.5353737609352887,19
5,diameter_80pct,valid,1.527456204863393,19
6,mape,test,0.3413032557081958,19
7,mape,train,0.26804343113852785,19
8,mape,valid,0.32410795504305573,19
9,confidence_error,test,0.3562599498964984,19
10,confidence_error,train,0.435152807529573,19
11,confidence_error,valid,0.32170211461642223,19
12,elbo,train,10326.492854595184,19
0,coverage_80pct,test,0.9029850746268657,20
1,coverage_80pct,train,0.9317757009345794,20
2,coverage_80pct,valid,0.8656716417910447,20
3,diameter_80pct,test,1.6721908031936092,20
4,diameter_80pct,train,1.6623813520858393,20
5,diameter_80pct,valid,1.6753712219989216,20
6,mape,test,0.3037421477090796,20
7,mape,train,0.23989320900103855,20
8,mape,valid,0.3023210474022529,20
9,confidence_error,test,0.4257652987374663,20
10,confidence_error,train,0.48595696545442524,20
11,confidence_error,valid,0.35712266182622926,20
12,elbo,train,10372.768375396729,20
0,coverage_80pct,test,0.8582089552238806,21
1,coverage_80pct,train,0.9196261682242991,21
2,coverage_80pct,valid,0.8507462686567164,21
3,diameter_80pct,test,1.4089594034973436,21
4,diameter_80pct,train,1.3938562032666086,21
5,diameter_80pct,valid,1.4123383888073728,21
6,mape,test,0.3446040449465398,21
7,mape,train,0.2683455440939558,21
8,mape,valid,0.33295565125098175,21
9,confidence_error,test,0.31441203130536394,21
10,confidence_error,train,0.4027363665606621,21
11,confidence_error,valid,0.2815346665506287,21
12,elbo,train,10280.702376365662,21
0,coverage_80pct,test,0.8805970149253731,22
1,coverage_80pct,train,0.9252336448598131,22
2,coverage_80pct,valid,0.8507462686567164,22
3,diameter_80pct,test,1.641817132863703,22
4,diameter_80pct,train,1.6190292898908465,22
5,diameter_80pct,valid,1.6550496337936984,22
6,mape,test,0.34982007299154755,22
7,mape,train,0.28015317567683956,22
8,mape,valid,0.34737910034132474,22
9,confidence_error,test,0.3447083202894317,22
10,confidence_error,train,0.44030411862658475,22
11,confidence_error,valid,0.3108754087040848,22
12,elbo,train,10247.523008823395,22
0,coverage_80pct,test,0.9029850746268657,23
1,coverage_80pct,train,0.9233644859813084,23
2,coverage_80pct,valid,0.8507462686567164,23
3,diameter_80pct,test,1.4985781874288167,23
4,diameter_80pct,train,1.4884465854500408,23
