,metric,partition,value,iteration
12,abs_lenght_80pct,test,14308.489970553928,14
13,abs_lenght_80pct,train,14194.58023021956,14
14,abs_lenght_80pct,valid,14286.272668272532,14
15,confidence_error,test,0.2769873321936755,14
16,confidence_error,train,0.3504882208425617,14
17,confidence_error,valid,0.27734764129373957,14
18,elbo,train,10351.473779678345,14
0,MAPE,test,0.3169450656686849,15
1,MAPE,train,0.2703941803459776,15
2,MAPE,valid,0.3039049343526293,15
3,MAE,test,3013.7856028917918,15
4,MAE,train,2453.4375446775116,15
5,MAE,valid,3387.8751775227365,15
6,emp_coverage_80pct,test,0.9253731343283582,15
7,emp_coverage_80pct,train,0.9299065420560748,15
8,emp_coverage_80pct,valid,0.8507462686567164,15
9,perc_lenght_80pct,test,1.6416128904465537,15
10,perc_lenght_80pct,train,1.539491465887507,15
11,perc_lenght_80pct,valid,1.546853343939044,15
12,abs_lenght_80pct,test,14940.702185600168,15
13,abs_lenght_80pct,train,14584.806191271806,15
14,abs_lenght_80pct,valid,14829.884386578475,15
15,confidence_error,test,0.33528462245208773,15
16,confidence_error,train,0.38202639135562677,15
17,confidence_error,valid,0.3004227969191941,15
18,elbo,train,10209.484217643738,15
0,MAPE,test,0.3608416703748889,16
1,MAPE,train,0.31021662748246953,16
2,MAPE,valid,0.3544577834834545,16
3,MAE,test,3145.0503726387587,16
4,MAE,train,2657.2603126981016,16
5,MAE,valid,3640.867383070195,16
6,emp_coverage_80pct,test,0.9253731343283582,16
7,emp_coverage_80pct,train,0.9355140186915888,16
8,emp_coverage_80pct,valid,0.8507462686567164,16
9,perc_lenght_80pct,test,1.696511772619216,16
10,perc_lenght_80pct,train,1.6311314743277043,16
11,perc_lenght_80pct,valid,1.6490389843207247,16
12,abs_lenght_80pct,test,15675.209245658189,16
13,abs_lenght_80pct,train,15608.160610953206,16
14,abs_lenght_80pct,valid,15960.551561244833,16
15,confidence_error,test,0.3518520912306438,16
16,confidence_error,train,0.3897735971538339,16
17,confidence_error,valid,0.2949509723684782,16
18,elbo,train,10510.471177101135,16
0,MAPE,test,0.31232748335878335,17
1,MAPE,train,0.2667325556382137,17
2,MAPE,valid,0.30093158341645115,17
3,MAE,test,2976.7159072965255,17
4,MAE,train,2463.8233837089797,17
5,MAE,valid,3403.377421587569,17
6,emp_coverage_80pct,test,0.9029850746268657,17
7,emp_coverage_80pct,train,0.9252336448598131,17
8,emp_coverage_80pct,valid,0.8507462686567164,17
9,perc_lenght_80pct,test,1.421326642924562,17
10,perc_lenght_80pct,train,1.3504616513278187,17
11,perc_lenght_80pct,valid,1.3651723310003558,17
12,abs_lenght_80pct,test,13005.304554961924,17
13,abs_lenght_80pct,train,12829.261757655617,17
14,abs_lenght_80pct,valid,12990.09876067667,17
15,confidence_error,test,0.3072767844989961,17
16,confidence_error,train,0.36866388897149543,17
17,confidence_error,valid,0.30087878229842036,17
18,elbo,train,10255.122545719147,17
0,MAPE,test,0.3729829919055803,18
1,MAPE,train,0.3200865628347536,18
2,MAPE,valid,0.35921438496387603,18
3,MAE,test,3202.711438345383,18
4,MAE,train,2700.5873621943056,18
5,MAE,valid,3612.13390350513,18
6,emp_coverage_80pct,test,0.9104477611940298,18
7,emp_coverage_80pct,train,0.9242990654205607,18
8,emp_coverage_80pct,valid,0.8432835820895522,18
9,perc_lenght_80pct,test,1.6005124787588403,18
10,perc_lenght_80pct,train,1.5307331236099786,18
11,perc_lenght_80pct,valid,1.5296085093571403,18
12,abs_lenght_80pct,test,14114.683065445273,18
13,abs_lenght_80pct,train,14010.375532875385,18
14,abs_lenght_80pct,valid,14267.85871648657,18
15,confidence_error,test,0.2601582953122765,18
16,confidence_error,train,0.2995888883993041,18
17,confidence_error,valid,0.2295930680127061,18
18,elbo,train,10412.885821342468,18
0,MAPE,test,0.30448797581745385,19
1,MAPE,train,0.24444404389875016,19
2,MAPE,valid,0.2877922449514416,19
3,MAE,test,2967.1865509153445,19
4,MAE,train,2376.536539711462,19
5,MAE,valid,3375.739710446011,19
6,emp_coverage_80pct,test,0.917910447761194,19
7,emp_coverage_80pct,train,0.9317757009345794,19
8,emp_coverage_80pct,valid,0.8507462686567164,19
9,perc_lenght_80pct,test,1.696345884985519,19
10,perc_lenght_80pct,train,1.6214975465578079,19
11,perc_lenght_80pct,valid,1.6243578870137383,19
12,abs_lenght_80pct,test,15031.67817159965,19
13,abs_lenght_80pct,train,14976.348818607827,19
14,abs_lenght_80pct,valid,15160.696489361535,19
15,confidence_error,test,0.45106417408169486,19
16,confidence_error,train,0.5063052774895195,19
17,confidence_error,valid,0.43630643992863666,19
18,elbo,train,10416.057524681091,19
0,MAPE,test,0.3315625559527522,20
1,MAPE,train,0.2816815372321131,20
2,MAPE,valid,0.3147704839471886,20
3,MAE,test,3089.997828914996,20
4,MAE,train,2537.8357746406377,20
5,MAE,valid,3436.9243307934917,20
6,emp_coverage_80pct,test,0.9104477611940298,20
7,emp_coverage_80pct,train,0.9289719626168225,20
8,emp_coverage_80pct,valid,0.8507462686567164,20
9,perc_lenght_80pct,test,1.5129210038119383,20
10,perc_lenght_80pct,train,1.4651797523194248,20
11,perc_lenght_80pct,valid,1.4751969440559876,20
12,abs_lenght_80pct,test,13493.453679667977,20
13,abs_lenght_80pct,train,13533.713408892067,20
14,abs_lenght_80pct,valid,13761.949020018414,20
15,confidence_error,test,0.3133973242492244,20
16,confidence_error,train,0.3740126969058843,20
17,confidence_error,valid,0.3030067140681432,20
18,elbo,train,10325.051782608032,20
0,MAPE,test,0.3863998763805884,21
1,MAPE,train,0.33643295348494007,21
2,MAPE,valid,0.3736624089544386,21
3,MAE,test,3237.50873200793,21
4,MAE,train,2758.0117866894125,21
5,MAE,valid,3711.9329711211503,21
6,emp_coverage_80pct,test,0.917910447761194,21
7,emp_coverage_80pct,train,0.9345794392523364,21
8,emp_coverage_80pct,valid,0.8656716417910447,21
9,perc_lenght_80pct,test,1.7469603157027733,21
10,perc_lenght_80pct,train,1.6797984138266127,21
11,perc_lenght_80pct,valid,1.677681635444771,21
12,abs_lenght_80pct,test,15681.894086284865,21
13,abs_lenght_80pct,train,15632.478081064603,21
14,abs_lenght_80pct,valid,15863.693480660868,21
15,confidence_error,test,0.3298127979013719,21
16,confidence_error,train,0.3610906621929334,21
17,confidence_error,valid,0.2859832599103606,21
18,elbo,train,10473.443784713745,21
0,MAPE,test,0.3621150150321428,22
1,MAPE,train,0.30004416974151105,22
2,MAPE,valid,0.34725389031748777,22
3,MAE,test,3069.7018442484846,22
4,MAE,train,2555.1007468445664,22
5,MAE,valid,3501.636704239738,22
6,emp_coverage_80pct,test,0.917910447761194,22
7,emp_coverage_80pct,train,0.930841121495327,22
8,emp_coverage_80pct,valid,0.8656716417910447,22
9,perc_lenght_80pct,test,1.6277774121197923,22
10,perc_lenght_80pct,train,1.556108558874485,22
11,perc_lenght_80pct,valid,1.5758422175552775,22
12,abs_lenght_80pct,test,14305.67344687074,22
13,abs_lenght_80pct,train,14421.603663907714,22
14,abs_lenght_80pct,valid,14795.281362639138,22
15,confidence_error,test,0.3535240376211403,22
16,confidence_error,train,0.41619404346319866,22
17,confidence_error,valid,0.33872556877420473,22
18,elbo,train,10258.537898540497,22
0,MAPE,test,0.32528830381812374,23
1,MAPE,train,0.2674686643863332,23
2,MAPE,valid,0.3090556926732885,23
3,MAE,test,3174.773703471898,23
4,MAE,train,2494.14503159778,23
5,MAE,valid,3550.0494683867746,23
6,emp_coverage_80pct,test,0.9029850746268657,23
7,emp_coverage_80pct,train,0.9233644859813084,23
8,emp_coverage_80pct,valid,0.8507462686567164,23
9,perc_lenght_80pct,test,1.53776054615797,23
10,perc_lenght_80pct,train,1.4847975368811972,23
11,perc_lenght_80pct,valid,1.4855415610978442,23
12,abs_lenght_80pct,test,13716.288319591209,23
13,abs_lenght_80pct,train,13862.77176511144,23
14,abs_lenght_80pct,valid,14079.751345508272,23
15,confidence_error,test,0.38042717499549306,23
16,confidence_error,train,0.4635909536291344,23
17,confidence_error,valid,0.37566038449153655,23
18,elbo,train,10280.04653263092,23
0,MAPE,test,0.3731346128526526,24
1,MAPE,train,0.30920889516427646,24
2,MAPE,valid,0.3579841977231792,24
3,MAE,test,3062.8071967788014,24
4,MAE,train,2569.06357913465,24
5,MAE,valid,3575.172490582438,24
6,emp_coverage_80pct,test,0.917910447761194,24
7,emp_coverage_80pct,train,0.9271028037383178,24
8,emp_coverage_80pct,valid,0.8582089552238806,24
9,perc_lenght_80pct,test,1.5539401789485916,24
10,perc_lenght_80pct,train,1.4835042723528775,24
11,perc_lenght_80pct,valid,1.4867456775243697,24
12,abs_lenght_80pct,test,14274.457072477282,24
